Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
103,0.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.42,0.00,0.42,10.00,0.00,10.00
104,0.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.42,0.00,0.42
104,0.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.42,0.00,0.42,10.00,0.00,10.00
105,0.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.42,0.00,0.42
105,0.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.43,0.00,0.43,10.00,0.00,10.00
106,0.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.43,0.00,0.43
106,0.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.43,0.00,0.43,10.00,0.00,10.00
107,0.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.43,0.00,0.43
107,0.33,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.43,0.00,0.43,10.00,0.00,10.00
108,0.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.43,0.00,0.43
